Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-21 16:22:57Z : PB = 565907456 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-11-21 16:22:57Z : PB = 566013952 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2023-11-21 16:22:58Z : PB = 567140352 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Desktop\NTUT\112-1\視窗程式設計\HW\NTUT_112_WindowsPrograming\debug.log
2023-11-21 16:23:05Z : PB = 566087680 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-11-21 16:23:05Z : PB = 566517760 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-11-21 16:23:05Z : PB = 566517760 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-21 16:23:05Z : PB = 565485568 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 2])
2023-11-21 16:23:05Z : PB = 565510144 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 2], ignoreCache=True, settingsPath=<null>)
2023-11-21 16:23:06Z : PB = 564826112 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-11-21 16:23:06Z : PB = 564826112 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-11-21 16:23:06Z : PB = 564834304 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:06Z : PB = 564850688 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:06Z : PB = 565252096 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:06Z : PB = 565256192 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:06Z : PB = 565272576 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:06Z : PB = 570527744 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:06Z : PB = 570527744 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:06Z : PB = 570544128 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:06Z : PB = 570544128 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:06Z : PB = 570544128 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:06Z : PB = 571342848 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-21 16:23:06Z : PB = 571408384 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-21 16:23:06Z : PB = 571408384 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-21 16:23:06Z : PB = 572506112 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-21 16:23:06Z : PB = 572506112 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-21 16:23:06Z : PB = 572506112 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-21 16:23:06Z : PB = 572506112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-21 16:23:06Z : PB = 572506112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-21 16:23:06Z : PB = 573386752 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
